chrom,start,end
chr18,37089750,37089751
chr18,37098790,37098791
chr18,37105670,37105671
chr18,37112230,37112231
chr18,37119890,37119891
chr18,37127230,37127231
chr18,37133390,37133391
chr18,37151950,37151951
chr18,37157410,37157411
chr18,37164810,37164811
chr18,37170290,37170291
chr18,37179710,37179711
chr18,37249610,37249611
chr18,37454410,37454411
chr18,37460430,37460431
chr18,37467030,37467031
chr18,37479990,37479991
chr18,37493430,37493431
chr18,37501310,37501311
chr18,37514710,37514711
chr18,37560450,37560451
chr18,37571290,37571291
chr18,37581030,37581031
chr18,37595210,37595211
chr18,37601990,37601991
chr18,37607250,37607251
chr18,37633110,37633111
chr18,37637390,37637391
chr18,37644570,37644571
chr18,37649050,37649051
chr18,37656570,37656571
chr18,37663890,37663891
chr18,37673230,37673231
chr18,37677920,37677921
chr18,37821350,37821351
chr18,37828510,37828511
chr18,37833910,37833911
chr18,37839850,37839851
chr18,37844830,37844831
chr18,37849410,37849411
chr18,37853970,37853971
chr18,37866650,37866651
chr18,37874350,37874351
chr18,37879970,37879971
chr18,37885330,37885331
chr18,37890570,37890571
chr18,37896530,37896531
chr18,37901670,37901671
chr18,37906590,37906591
chr18,37911190,37911191
chr18,37915350,37915351
chr18,37921310,37921311
chr18,37925530,37925531
chr18,37965990,37965991
