Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A023UED4	unreviewed	PR domain-containing 14	10090	Mus musculus	561	IPR036236	420..558
A0A087WNP5	unreviewed	Predicted gene 10778	10090	Mus musculus	499	IPR036236	84..141,140..197,196..276,280..337,336..415,420..499
A0A087WNX1	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	381	IPR036236	49..75,324..373
A0A087WNY4	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	532	IPR036236	132..220,475..524
A0A087WPI5	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	511	IPR036236	133..184,235..292,291..348,347..404,403..497
A0A087WPN2	unreviewed	Predicted gene 3604	10090	Mus musculus	559	IPR036236	114..170,169..226,225..282,281..338,337..394,393..450,449..543
A0A087WPV0	unreviewed	Zinc finger protein 708	10090	Mus musculus	496	IPR036236	46..141,140..219,224..281,280..337,336..393,392..490
A0A087WQ51	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	452	IPR036236	112..193,395..444
A0A087WQ74	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	454	IPR036236	112..164,397..446
A0A087WQD2	unreviewed	RIKEN cDNA 2010315B03 gene	10090	Mus musculus	175	IPR036236	82..174
A0A087WQF9	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	373	IPR036236	189..239
A0A087WQI7	unreviewed	RIKEN cDNA B020011L13 gene	10090	Mus musculus	412	IPR036236	76..170,169..226,225..304,309..407
A0A087WQK7	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	89	IPR036236	10..89
A0A087WQQ0	unreviewed	Predicted gene 28557	10090	Mus musculus	336	IPR036236	45..140,139..218,223..313
A0A087WR27	unreviewed	Zinc finger protein 932	10090	Mus musculus	526	IPR036236	64..113,112..191,196..253,252..356,364..421,420..518
A0A087WRH0	unreviewed	Zinc finger protein 951	10090	Mus musculus	451	IPR036236	129..185,184..241,240..297,296..353,352..446
A0A087WRJ1	unreviewed	Zinc finger protein 1006	10090	Mus musculus	410	IPR036236	61..110,114..190,195..252,251..308,307..401
A0A087WRL6	unreviewed	Predicted gene 14325	10090	Mus musculus	497	IPR036236	75..167,166..223,222..279,278..335,334..391,390..447,446..497
A0A087WRR3	unreviewed	RIKEN cDNA 2010315B03 gene	10090	Mus musculus	151	IPR036236	54..146
A0A087WRR7	unreviewed	Zinc finger protein 383	10090	Mus musculus	490	IPR036236	165..222,222..278,277..334,333..390,389..483
A0A087WS64	unreviewed	Predicted gene 7145	10090	Mus musculus	360	IPR036236	92..146,145..202,201..258,257..360
A0A087WSF4	unreviewed	Zinc finger protein 976	10090	Mus musculus	635	IPR036236	112..167,166..245,250..307,306..363,362..419,418..475,474..531,530..624
A0A087WSP8	unreviewed	Predicted gene 29106	10090	Mus musculus	697	IPR036236	63..220,225..282,281..338,337..416,421..478,477..534,533..590,589..646,645..697
A0A0A6YWE3	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	121	IPR036236	12..109
A0A0G2JE66	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	138	IPR036236	67..136
A0A0G2JEJ7	unreviewed	Zinc finger and BTB domain containing 41	10090	Mus musculus	657	IPR036236	358..410,462..509,516..648
A0A0G2JEM5	unreviewed	Zinc finger protein 267	10090	Mus musculus	796	IPR036236	351..405,404..461,460..517,516..573,572..629,628..685,684..778
A0A0G2JET9	unreviewed	RIKEN cDNA A430033K04 gene	10090	Mus musculus	649	IPR036236	260..308,453..548,547..641
A0A0G2JGH6	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	1343	IPR036236	54..92
A0A0G2JH01	unreviewed	C2H2-type domain-containing protein	10090	Mus musculus	219	IPR036236	41..215
