Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Zinc finger	Coiled coil	Compositional bias	Domain [CC]	Domain [FT]	Repeat	Region	Protein families	Motif	Sequence similarities
A2A5K6	reviewed	ZN335_MOUSE	Zinc finger protein 335 (NRC-interacting factor 1) (NIF-1)	Znf335 Zfp335	Mus musculus (Mouse)	1337	ZN_FING 248..271; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 466..488; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 496..518; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 524..546; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 563..585; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 591..613; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 622..644; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 650..673; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 679..702; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1019..1041; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1047..1069; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1075..1097; /note="C2H2-type 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1103..1126; /note="C2H2-type 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 302..332; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 351..362; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 363..372; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 378..388; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 741..756; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 1..108; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 198..226; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 278..444; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 733..767; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 963..999; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
A2A884	reviewed	ZEP3_MOUSE	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3 homolog) (KB-binding and recognition component) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Recombinant component) (Schnurri-3) (Zinc finger protein ZAS3)	Hivep3 KBP1 Kiaa1555 Krc Rc shn3 Zas3	Mus musculus (Mouse)	2348	ZN_FING 185..207; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 213..235; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 633..663; /note="CCHC HIVEP-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01154"; ZN_FING 1720..1742; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1748..1772; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"	COILED 1409..1433; /evidence="ECO:0000255"	COMPBIAS 27..72; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 264..281; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 338..352; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 372..401; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 485..495; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 606..623; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 845..865; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 930..939; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 975..985; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1062..1073; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1247..1256; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1416..1427; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1442..1452; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1518..1527; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1665..1694; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1815..1840; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1871..1902; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1952..1961; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 2293..2314; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: ZAS2 domain binds DNA as dimers, tetramers, and multiple of tetramers and readily forms highly ordered DNA-protein structures. {ECO:0000269|PubMed:12193271, ECO:0000269|PubMed:8255760, ECO:0000269|PubMed:8812474}.		REPEAT 1897..1900; /note="1"; /evidence="ECO:0000269|PubMed:8255760"; REPEAT 1927..1930; /note="2"; /evidence="ECO:0000269|PubMed:8255760"; REPEAT 1933..1936; /note="3"; /evidence="ECO:0000269|PubMed:8255760"; REPEAT 1961..1964; /note="4"; /evidence="ECO:0000269|PubMed:8255760"; REPEAT 2024..2027; /note="5"; /evidence="ECO:0000269|PubMed:8255760"	REGION 1..105; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 185..235; /note="ZAS1"; REGION 204..1055; /note="No DNA binding activity or transactivation activity, but complete prevention of TRAF-dependent NF-Kappa-B activation; associates with TRAF2 and JUN"; REGION 239..401; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 257..280; /note="Acidic 1"; REGION 475..532; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 561..628; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 692..1098; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 844..865; /note="Acidic 2"; REGION 1229..1274; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1386..1427; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1441..1555; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1654..1694; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1720..1772; /note="ZAS2"; REGION 1783..1841; /note="Acidic 3"; REGION 1786..1990; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2009..2038; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2053..2148; /note="5 X 4 AA tandem repeats of [ST]-P-X-[RK]"; REGION 2184..2265; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2284..2348; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"		MOTIF 885..891; /note="Nuclear localization signal"; /evidence="ECO:0000255"	
A2A935	reviewed	PRD16_MOUSE	Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.367) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1)	Prdm16 Kiaa1675 Mel1	Mus musculus (Mouse)	1275	ZN_FING 230..255; /note="C2H2-type 1; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 282..304; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 310..332; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 338..361; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 367..389; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 395..417; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 424..446; /note="C2H2-type 7; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 951..973; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 979..1002; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1008..1030; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 1..10; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 631..648; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 821..835; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1038..1058; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1117..1133; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 82..211; /note="SET"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00190"		REGION 1..66; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 592..658; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 680..1038; /note="Interaction with CTBP1, CTBP2 and ZNF516"; /evidence="ECO:0000269|PubMed:18483224"; REGION 740..1275; /note="Mediates interaction with SKI and regulation of TGF-beta signaling"; /evidence="ECO:0000250|UniProtKB:Q9HAZ2"; REGION 789..838; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1027..1065; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1084..1169; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	PRDM16 family		SIMILARITY: Belongs to the PRDM16 family. {ECO:0000305}.
A2APF3	reviewed	CTCFL_MOUSE	Transcriptional repressor CTCFL (Brother of the regulator of imprinted sites) (CCCTC-binding factor) (CTCF paralog) (CTCF-like protein)	Ctcfl Boris	Mus musculus (Mouse)	636	ZN_FING 257..279; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 285..307; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 313..336; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 342..364; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 370..392; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 398..421; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 428..451; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 458..480; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 486..508; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 514..537; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 546..572; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 160..170; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 242..251; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 568..583; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 17..38; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 160..195; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 222..257; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 562..624; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	CTCF zinc-finger protein family		SIMILARITY: Belongs to the CTCF zinc-finger protein family. {ECO:0000305}.
A2RSY6	reviewed	TRM1L_MOUSE	TRMT1-like protein (EC 2.1.1.-)	Trmt1l	Mus musculus (Mouse)	728	ZN_FING 181..203; /note="C2H2-type"		COMPBIAS 1..10; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 23..33; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 47..61; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 101..118; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 708..721; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 224..683; /note="Trm1 methyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00958"		REGION 1..78; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 98..118; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 693..728; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Class I-like SAM-binding methyltransferase superfamily, Trm1 family		SIMILARITY: Belongs to the class I-like SAM-binding methyltransferase superfamily. Trm1 family. {ECO:0000255|PROSITE-ProRule:PRU00958}.
B1AWL2	reviewed	ZN462_MOUSE	Zinc finger protein 462 (Zinc finger PBX1-interacting protein) (ZFPIP)	Znf462 Zfp462	Mus musculus (Mouse)	2495	ZN_FING 4..27; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 108..131; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 162..185; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 440..463; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 471..493; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 593..616; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 835..858; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 878..900; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 917..940; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1023..1046; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1254..1277; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1459..1482; /note="C2H2-type 12"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1504..1527; /note="C2H2-type 13"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1566..1589; /note="C2H2-type 14"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1649..1672; /note="C2H2-type 15"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1686..1709; /note="C2H2-type 16"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1881..1903; /note="C2H2-type 17"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 1957..1981; /note="C2H2-type 18; degenerate"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2014..2037; /note="C2H2-type 19"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2043..2066; /note="C2H2-type 20"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2072..2095; /note="C2H2-type 21"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2180..2203; /note="C2H2-type 22"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2209..2232; /note="C2H2-type 23"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2243..2265; /note="C2H2-type 24"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2289..2311; /note="C2H2-type 25"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2317..2340; /note="C2H2-type 26"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 2403..2425; /note="C2H2-type 27"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 370..387; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 493..502; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 542..590; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 641..654; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 2112..2121; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 2132..2149; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 2377..2387; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"				REGION 215..241; /note="Interaction with PBX1"; /evidence="ECO:0000269|PubMed:17353115"; REGION 278..301; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 329..357; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 370..395; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 492..590; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 629..654; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 980..999; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2112..2172; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 2361..2387; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
B2RRD7	reviewed	BRPF1_MOUSE	Peregrin (Bromodomain and PHD finger-containing protein 1)	Brpf1	Mus musculus (Mouse)	1212	ZN_FING 21..47; /note="C2H2-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 272..322; /note="PHD-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00146"; ZN_FING 326..359; /note="C2HC pre-PHD-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01146"; ZN_FING 383..447; /note="PHD-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01146"		COMPBIAS 58..67; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 119..130; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 148..166; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 463..473; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 823..836; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 644..714; /note="Bromo"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00035"; DOMAIN 1083..1166; /note="PWWP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00162"		REGION 43..87; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 59..221; /note="Interaction with KAT6A and KAT6B"; /evidence="ECO:0000250|UniProtKB:P55201"; REGION 118..176; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 447..489; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 500..819; /note="Interaction with MEAF6 and ING5"; /evidence="ECO:0000250|UniProtKB:P55201"; REGION 542..1077; /note="Required for RUNX1 and RUNX2 transcriptional activation"; /evidence="ECO:0000250|UniProtKB:P55201"; REGION 817..1060; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"			
E9PYI1	reviewed	ZN568_MOUSE	Zinc finger protein 568	Znf568 chato Zfp568	Mus musculus (Mouse)	671	ZN_FING 363..385; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 391..413; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 419..441; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 447..469; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 475..497; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 503..525; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 531..553; /note="C2H2-type 7"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 559..581; /note="C2H2-type 8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 587..609; /note="C2H2-type 9"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 615..637; /note="C2H2-type 10"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 643..665; /note="C2H2-type 11"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 18..29; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 226..251; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 296..312; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 329..341; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"	DOMAIN: KRAB domain 1, but not KRAB domain 2, is required for transcriptional repression. Both contribute to interaction with TRIM28. Differences in repressive activity between KRAB domain 1 and 2 are likely due to amino acid differences at multiple residues. {ECO:0000269|PubMed:27658112}.	DOMAIN 34..105; /note="KRAB 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"; DOMAIN 124..195; /note="KRAB 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"		REGION 1..31; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 214..366; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Krueppel C2H2-type zinc-finger protein family		SIMILARITY: Belongs to the krueppel C2H2-type zinc-finger protein family. {ECO:0000305}.
E9PZZ1	reviewed	PRD13_MOUSE	PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)	Prdm13	Mus musculus (Mouse)	754	ZN_FING 185..207; /note="C2H2-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 620..642; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 648..670; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 677..700; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 383..400; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 39..160; /note="SET"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00190"		REGION 279..304; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 345..404; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 694..754; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"	Class V-like SAM-binding methyltransferase superfamily		SIMILARITY: Belongs to the class V-like SAM-binding methyltransferase superfamily. {ECO:0000255|PROSITE-ProRule:PRU00190}.
E9Q3T6	reviewed	PRD14_MOUSE	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	Prdm14	Mus musculus (Mouse)	561	ZN_FING 390..416; /note="C2H2-type 1; atypical"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 422..445; /note="C2H2-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 451..473; /note="C2H2-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 479..501; /note="C2H2-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 507..530; /note="C2H2-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"; ZN_FING 536..558; /note="C2H2-type 6"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00042"		COMPBIAS 7..20; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"		DOMAIN 241..356; /note="SET"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00190"		REGION 1..20; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 184..373; /note="Interaction with CBFA2T2"; /evidence="ECO:0000269|PubMed:26523391, ECO:0000269|PubMed:27281218"	Class V-like SAM-binding methyltransferase superfamily		SIMILARITY: Belongs to the class V-like SAM-binding methyltransferase superfamily. {ECO:0000255|PROSITE-ProRule:PRU00190}.
